date,product,category,region,quantity,unit_price,discount,revenue,cost,profit
2024-10-31,Accessory M,Accessories,South,40,14.99,0,599.6,380.89,218.71
2025-01-17,Widget B,Widgets,South,45,18.5,0,832.5,481.84,350.66
2024-07-09,Service Basic,Services,West,32,99.0,0,3168.0,1882.49,1285.51
2024-02-24,Gadget Z,Gadgets,West,23,129.0,0,2967.0,1690.04,1276.96
2025-02-22,Accessory S,Accessories,West,44,5.99,0.25,197.67,107.82,89.85
2024-08-13,Widget B,Widgets,North,19,18.5,0,351.5,174.41,177.09
2025-06-07,Service Premium,Services,West,8,249.0,0,1992.0,983.57,1008.43
2025-03-27,Accessory S,Accessories,North,35,5.99,0.05,199.17,148.66,50.51
2024-02-03,Gadget X,Gadgets,East,29,49.99,0.1,1304.74,681.08,623.66
2024-08-02,Widget B,Widgets,South,48,18.5,0.15,754.8,529.39,225.41
2024-07-30,Accessory M,Accessories,South,14,14.99,0,209.86,125.82,84.04
2024-10-26,Widget Pro,Widgets,East,19,34.99,0.1,598.33,438.78,159.55
2025-02-25,Widget B,Widgets,South,4,18.5,0.1,66.6,46.85,19.75
2024-11-25,Gadget X,Gadgets,South,16,49.99,0.2,639.87,365.56,274.31
2025-04-07,Service Basic,Services,West,5,99.0,0,495.0,267.79,227.21
2025-05-14,Gadget Z,Gadgets,West,21,129.0,0,2709.0,1907.45,801.55
2024-03-05,Service Premium,Services,East,35,249.0,0.2,6972.0,3320.35,3651.65
2024-10-17,Gadget Y,Gadgets,East,22,79.99,0,1759.78,1052.61,707.17
2024-02-17,Accessory L,Accessories,North,7,29.99,0.25,157.45,63.88,93.57
2025-03-14,Service Premium,Services,North,13,249.0,0,3237.0,2294.23,942.77
2025-01-04,Gadget Y,Gadgets,North,17,79.99,0,1359.83,720.91,638.92
2024-08-27,Service Basic,Services,East,28,99.0,,2772.0,1791.53,980.47
2025-06-15,Widget Pro,Widgets,South,44,34.99,0.25,1154.67,465.62,689.05
2025-05-04,Service Basic,Services,South,5,99.0,0.05,470.25,251.15,219.1
2024-11-02,Gadget Z,Gadgets,East,9,129.0,0.2,928.8,622.96,305.84
2024-03-11,Accessory L,Accessories,South,34,29.99,0,1019.66,625.68,393.98
2025-02-25,Gadget X,Gadgets,South,40,49.99,0.25,1499.7,1051.27,448.43
2024-12-25,Widget B,Widgets,West,28,18.5,0.15,440.3,298.03,142.27
2024-01-28,Gadget X,Gadgets,East,43,49.99,0.1,1934.61,912.95,1021.66
2024-02-25,Service Basic,Services,East,16,99.0,0.25,1188.0,635.65,552.35
2025-01-04,Widget B,Widgets,North,21,18.5,0,388.5,208.0,180.5
2025-04-27,Accessory S,Accessories,South,50,5.99,0,299.5,121.55,177.95
2025-02-11,Widget A,Widgets,North,33,12.99,0.1,385.8,239.2,146.6
2024-06-05,Service Basic,Services,North,18,99.0,0,1782.0,906.09,875.91
2025-02-04,Widget Pro,Widgets,East,38,34.99,0,1329.62,676.19,653.43
2024-09-07,Gadget X,Gadgets,North,6,49.99,0.2,239.95,105.72,134.23
2024-05-02,Accessory L,Accessories,South,1,29.99,0,29.99,19.36,10.63
2024-06-19,Accessory S,Accessories,East,24,5.99,0,143.76,95.23,48.53
2024-12-09,Widget B,Widgets,North,28,18.5,0.1,466.2,271.96,194.24
2025-05-23,Accessory L,Accessories,North,30,29.99,0.15,764.74,320.73,444.01
2024-04-15,Widget Pro,Widgets,East,37,34.99,0,1294.63,621.35,673.28
2024-02-17,Widget A,Widgets,South,31,12.99,0.15,342.29,182.8,159.49
2024-08-17,Widget A,Widgets,West,21,12.99,0.05,259.15,141.42,117.73
2024-05-02,Widget B,Widgets,East,33,18.5,0,610.5,282.52,327.98
2025-04-21,Service Basic,Services,,19,99.0,0.1,1692.9,871.09,821.81
2024-11-07,Gadget X,Gadgets,East,48,49.99,0.05,2279.54,1281.95,997.59
2024-06-03,Gadget X,Gadgets,South,1,49.99,0.2,39.99,16.33,23.66
2024-01-02,Widget A,Widgets,East,49,12.99,0.2,509.21,355.0,154.21
2025-03-05,Accessory S,Accessories,South,32,5.99,0,191.68,141.92,49.76
2025-06-16,Widget A,Widgets,South,27,12.99,0.15,298.12,167.08,131.04
2025-02-07,Accessory S,Accessories,South,5,5.99,0,29.95,16.54,13.41
2025-02-06,Gadget Y,Gadgets,East,45,79.99,0.15,3059.62,1564.45,1495.17
2024-04-21,Gadget X,Gadgets,South,10,49.99,0,499.9,228.72,271.18
2024-07-31,Accessory S,Accessories,East,29,5.99,0.1,156.34,87.89,68.45
2024-02-11,Accessory L,Accessories,East,14,29.99,0.15,356.88,161.28,195.6
2024-11-02,Service Basic,Services,North,17,99.0,0,1683.0,691.51,991.49
2024-04-06,Accessory S,Accessories,,30,5.99,0,179.7,122.44,57.26
2024-07-21,Gadget X,Gadgets,South,26,49.99,0.15,1104.78,707.28,397.5
2024-03-17,Accessory M,Accessories,East,2,14.99,0,29.98,14.07,15.91
2024-05-05,Widget B,Widgets,East,3,18.5,0.25,41.62,17.39,24.23
2024-01-31,Service Basic,Services,West,25,99.0,0.2,1980.0,911.76,1068.24
2024-06-01,Gadget Y,Gadgets,West,3,79.99,0.05,227.97,142.83,85.14
2024-03-30,Service Premium,Services,North,18,249.0,0.2,3585.6,1606.47,1979.13
2024-01-20,Accessory S,Accessories,South,25,5.99,0.15,127.29,72.29,55.0
2025-02-01,Accessory M,Accessories,East,18,14.99,0,269.82,110.39,159.43
2025-04-28,Gadget Y,Gadgets,North,34,79.99,0.15,2311.71,1545.13,766.58
2024-09-03,Widget B,Widgets,South,18,18.5,0,333.0,222.25,110.75
2024-06-26,Service Basic,Services,East,12,99.0,0.05,1128.6,685.49,443.11
2024-12-26,Accessory M,Accessories,North,37,14.99,0,554.63,331.16,223.47
2024-06-28,Service Premium,Services,East,32,249.0,0,7968.0,3438.91,4529.09
2024-01-01,Accessory S,Accessories,West,22,5.99,0.05,125.19,85.41,39.78
2024-01-23,Gadget Z,Gadgets,North,10,129.0,0,1290.0,865.63,424.37
2025-02-09,Widget B,Widgets,East,38,18.5,0,703.0,364.01,338.99
2024-11-20,Service Basic,Services,West,12,99.0,0.15,1009.8,482.82,526.98
2024-05-10,Gadget Y,Gadgets,East,12,79.99,0,959.88,702.7,257.18
2024-07-05,Accessory M,Accessories,North,39,14.99,0.15,496.92,358.96,137.96
2025-05-23,Accessory M,Accessories,North,10,14.99,0.15,127.42,84.21,43.21
2024-12-09,Widget Pro,Widgets,North,29,34.99,0,1014.71,500.07,514.64
2024-01-02,Gadget Y,Gadgets,North,4,79.99,0.2,255.97,141.65,114.32
2025-01-22,Service Basic,Services,West,23,99.0,0.2,1821.6,793.31,1028.29
2024-06-15,Accessory L,Accessories,South,29,29.99,0,869.71,591.16,278.55
2024-03-16,Gadget Y,Gadgets,North,22,79.99,0,1759.78,1250.81,508.97
2025-05-09,Widget B,Widgets,East,46,18.5,0,851.0,468.87,382.13
2024-02-24,Service Basic,Services,South,7,99.0,0.15,589.05,278.0,311.05
2024-10-15,Accessory S,Accessories,East,20,5.99,0.05,113.81,49.34,64.47
2024-02-25,Service Premium,Services,South,24,249.0,0,5976.0,3284.78,2691.22
2024-07-23,Accessory M,Accessories,West,7,14.99,0,104.93,49.57,55.36
2024-11-11,Service Premium,Services,North,26,249.0,0.25,4855.5,2773.38,2082.12
2024-07-08,Accessory S,Accessories,West,24,5.99,0.2,115.01,60.87,54.14
2024-08-19,Service Premium,Services,East,18,249.0,0,4482.0,2029.88,2452.12
2025-02-27,Accessory L,Accessories,East,49,29.99,0.05,1396.03,828.91,567.12
2024-08-29,Service Basic,Services,West,31,99.0,0.1,2762.1,1181.17,1580.93
2024-05-03,Accessory S,Accessories,South,49,5.99,0.25,220.13,101.37,118.76
2024-02-13,Gadget X,Gadgets,South,28,49.99,0,1399.72,1044.05,355.67
2024-09-21,Accessory L,Accessories,South,21,29.99,0,629.79,271.1,358.69
2024-01-13,Gadget Y,Gadgets,West,45,79.99,0.2,2879.64,1265.26,1614.38
2024-04-18,Accessory M,Accessories,North,37,14.99,0,554.63,374.38,180.25
2025-01-27,Service Basic,Services,East,42,99.0,0.25,3118.5,1871.75,1246.75
2025-02-15,Service Basic,Services,South,3,99.0,0.2,237.6,169.02,68.58
2025-01-16,Service Premium,Services,East,2,249.0,0.15,423.3,290.42,132.88
2024-08-21,Service Premium,Services,North,9,249.0,0.1,2016.9,1494.48,522.42
2024-04-01,Gadget Y,Gadgets,West,13,79.99,0.25,779.9,369.66,410.24
2024-02-27,Accessory S,Accessories,East,33,5.99,0,197.67,83.61,114.06
2024-06-26,Accessory S,Accessories,North,13,5.99,0.05,73.98,51.26,22.72
2024-10-07,Gadget Z,Gadgets,South,24,129.0,0.25,2322.0,1339.32,982.68
2025-01-16,Widget A,Widgets,South,32,12.99,0.25,311.76,144.08,167.68
2024-06-16,Gadget Z,Gadgets,East,17,129.0,0,2193.0,1096.0,1097.0
2024-08-14,Accessory M,Accessories,South,42,14.99,0.05,598.1,381.11,216.99
2025-04-30,Widget A,Widgets,North,9,12.99,,116.91,71.36,45.55
2025-03-09,Gadget Y,Gadgets,East,25,79.99,0.15,1699.79,952.99,746.8
2024-04-14,Accessory S,Accessories,West,1,5.99,0.15,5.09,3.04,2.05
2025-05-08,Accessory L,Accessories,North,5,29.99,0.15,127.46,95.08,32.38
2024-07-11,Gadget Y,Gadgets,East,10,79.99,0.05,759.9,543.25,216.65
2024-11-23,Accessory M,Accessories,West,44,14.99,0,659.56,430.33,229.23
2025-02-18,Gadget Y,Gadgets,West,25,79.99,0,1999.75,1207.97,791.78
2025-05-02,Gadget Z,Gadgets,South,43,129.0,0.15,4714.95,2723.17,1991.78
2024-10-27,Accessory S,Accessories,South,7,5.99,0.25,31.45,13.99,17.46
2024-04-01,Widget Pro,Widgets,East,15,34.99,0.15,446.12,213.32,232.8
2024-09-23,Gadget Z,Gadgets,East,38,129.0,0.1,4411.8,2480.83,1930.97
2025-04-28,Accessory L,Accessories,North,13,29.99,0,389.87,274.32,115.55
2024-05-20,Widget A,Widgets,South,13,12.99,0.15,143.54,77.97,65.57
2024-11-19,Service Premium,Services,South,46,249.0,0,11454.0,7704.3,3749.7
2024-02-29,Widget Pro,Widgets,East,1,34.99,0.25,26.24,13.01,13.23
2024-03-31,Widget Pro,Widgets,West,9,34.99,0.2,251.93,156.63,95.3
2024-02-08,Service Basic,Services,North,35,99.0,0.05,3291.75,2158.5,1133.25
2024-01-19,Accessory S,Accessories,South,44,5.99,0,263.56,163.23,100.33
2024-05-12,Gadget Z,Gadgets,East,7,129.0,0.2,722.4,416.22,306.18
2024-10-24,Widget A,Widgets,East,30,12.99,0.15,331.25,182.78,148.47
2024-07-11,Service Premium,Services,East,11,249.0,0.2,2191.2,891.15,1300.05
2025-05-31,Gadget X,Gadgets,North,11,49.99,0,549.89,290.51,259.38
2024-02-19,Accessory L,Accessories,,39,29.99,0,1169.61,738.83,430.78
2025-03-30,Widget B,Widgets,West,25,18.5,0,462.5,273.59,188.91
2024-11-04,Accessory L,Accessories,North,27,29.99,0,809.73,511.64,298.09
2024-04-17,Widget Pro,Widgets,West,33,34.99,0,1154.67,576.12,578.55
2024-09-26,Accessory M,Accessories,South,34,14.99,0.05,484.18,254.33,229.85
2024-07-31,Accessory S,Accessories,West,45,5.99,,202.16,104.26,97.9
2024-06-01,Widget B,Widgets,West,6,18.5,0,111.0,72.51,38.49
2024-10-30,Gadget X,Gadgets,West,17,49.99,0.25,637.37,266.12,371.25
2024-11-16,Gadget Y,Gadgets,East,28,79.99,0,2239.72,970.36,1269.36
2024-12-02,Widget Pro,Widgets,South,23,34.99,0.25,603.58,443.2,160.38
2024-07-06,Gadget Z,Gadgets,East,8,129.0,0.2,825.6,445.9,379.7
2024-06-19,Service Premium,Services,West,8,249.0,0,1992.0,1282.17,709.83
2025-03-02,Widget Pro,Widgets,North,38,34.99,0.25,997.22,678.9,318.32
2024-01-30,Service Basic,Services,East,44,99.0,0,4356.0,2478.9,1877.1
2024-03-05,Service Premium,Services,North,17,249.0,0.15,3598.05,1454.79,2143.26
2024-12-12,Accessory M,Accessories,South,34,14.99,0,509.66,281.08,228.58
2024-06-01,Accessory L,Accessories,West,36,29.99,0,1079.64,436.26,643.38
2024-06-18,Service Premium,Services,West,5,249.0,0.25,933.75,478.29,455.46
2025-01-22,Accessory S,Accessories,South,26,5.99,0.05,147.95,63.26,84.69
2025-04-02,Widget B,Widgets,,21,18.5,0,388.5,288.75,99.75
2024-02-06,Service Basic,Services,West,36,99.0,0,3564.0,2455.84,1108.16
2025-06-04,Accessory L,Accessories,East,36,29.99,0.05,1025.66,645.25,380.41
2025-04-10,Widget A,Widgets,South,22,12.99,0.25,214.34,139.5,74.84
2024-01-03,Widget B,Widgets,South,22,18.5,0.15,345.95,238.86,107.09
2024-04-18,Accessory S,Accessories,East,3,5.99,0,17.97,10.29,7.68
2024-09-17,Service Basic,Services,North,40,99.0,0.05,3762.0,1751.74,2010.26
2024-12-12,Service Premium,Services,South,7,249.0,0.2,1394.4,580.45,813.95
2025-04-13,Widget B,Widgets,West,43,18.5,,795.5,586.56,208.94
2025-05-09,Accessory S,Accessories,West,33,5.99,0,197.67,126.93,70.74
2024-11-25,Widget B,Widgets,West,33,18.5,0.2,488.4,266.93,221.47
2025-02-11,Gadget X,Gadgets,East,22,49.99,0.1,989.8,552.8,437.0
2024-11-17,Accessory S,Accessories,East,46,5.99,0.05,261.76,123.11,138.65
2024-07-01,Gadget Z,Gadgets,South,33,129.0,0.15,3618.45,2347.01,1271.44
2025-06-30,Accessory M,Accessories,West,19,14.99,0.2,227.85,155.6,72.25
2024-02-27,Widget Pro,Widgets,North,13,34.99,0.1,409.38,271.24,138.14
2024-03-04,Gadget Y,Gadgets,South,45,79.99,0.1,3239.59,1527.14,1712.45
2024-08-17,Service Premium,Services,North,48,249.0,0.2,9561.6,4619.77,4941.83
2025-01-25,Gadget Y,Gadgets,North,25,79.99,0.2,1599.8,1175.61,424.19
2024-01-14,Accessory S,Accessories,North,48,5.99,0.1,258.77,121.9,136.87
2025-01-11,Service Premium,Services,South,49,249.0,0.05,11590.95,7785.08,3805.87
